name,question_1,question_2,question_4,question_5,question_6,question_7,question_8,question_9,question_10,question_11,question_12,question_13,question_14,question_15,question_16,question_17,question_18,question_19,question_20
hs6225,1,5,0,0,0,4,1,0,10,0,0,10,10,1,6,10,0,10,0
hs2164,1,2,0,0,0,4,1,0,10,0,0,10,10,3,6,10,0,10,0
hs9394,1,0,0,10,0,10,1,0,10,0,0,10,10,10,10,10,0,10,0
hs6192,0,0,0,0,0,6,1,0,10,0,0,10,10,5,7,10,0,10,0
hs10641,0,8,0,0,0,0,1,10,10,0,0,10,2,7,7,10,0,10,10
hs9034,0,9,0,0,0,0,7,10,10,0,0,10,1,3,3,10,0,10,0
hs4729,0,9,0,0,0,0,7,10,10,0,0,10,1,0,6,10,0,10,0
hs9440,0,7,0,0,0,0,7,10,10,0,0,10,3,6,7,10,0,10,0
hs12376,0,9,0,0,0,0,7,0,10,0,0,10,10,3,5,10,0,10,0
hs3225,0,7,0,0,0,0,7,10,10,0,0,10,3,0,7,10,0,10,0
hs209,0,8,0,0,0,0,7,10,10,0,0,10,2,0,6,10,0,10,0
hs202,0,9,0,0,0,0,7,10,10,0,0,10,1,0,6,10,0,10,0
hs10680,0,9,0,0,0,0,7,0,10,0,0,10,10,1,1,10,0,10,0
hs7131,0,0,0,0,0,3,1,0,10,0,0,10,10,8,8,10,0,10,0
hs7128,0,0,0,0,0,1,1,10,10,0,0,10,10,10,10,10,0,0,0
hs4176,0,9,0,0,0,0,7,0,10,0,0,10,10,10,10,10,0,10,0
hs1496,0,8,0,0,0,0,7,0,10,0,0,10,10,2,4,10,0,10,0
hs3637,0,8,0,0,0,0,7,0,10,0,0,10,10,0,3,10,0,10,0
hs2573,0,0,0,0,0,0,1,0,10,0,0,10,10,4,4,10,0,10,0
hs6839,0,7,0,0,0,0,7,10,10,0,0,10,3,7,8,10,0,10,0
hs1568,0,8,0,0,0,0,7,10,10,0,0,10,2,0,6,10,0,10,0
hs11294,0,8,0,0,0,0,7,0,10,0,0,10,10,4,7,10,0,10,0
hs2423,1,9,0,0,0,3,1,0,10,0,0,10,10,2,8,10,0,10,0
hs16906,0,0,0,0,0,1,1,0,10,0,0,10,10,5,5,10,0,10,0
hs860,0,8,0,0,0,2,7,0,10,0,0,10,10,7,7,10,0,10,0
hs10122,0,9,0,0,0,2,7,0,10,0,0,10,10,2,5,10,0,10,0
hs5547,0,5,0,0,10,2,1,0,10,0,0,10,10,3,6,10,0,10,0
hs3711,0,7,0,0,0,0,1,0,10,0,0,10,10,6,8,10,0,10,0
hs3408,0,0,0,0,0,0,7,0,10,0,0,10,10,4,4,10,0,10,0
hs307,0,8,0,0,0,1,7,0,10,0,0,10,10,6,8,10,0,10,0
hs437,0,7,0,0,0,0,7,10,10,0,0,10,3,7,8,10,0,10,0
hs1800,0,6,0,0,0,0,1,0,10,0,0,10,10,8,8,10,0,10,0
hs836,0,6,0,0,0,1,7,0,10,0,0,10,10,0,7,10,0,10,0
hs16859,0,8,0,0,0,0,7,10,10,0,0,10,2,6,6,10,0,10,0
hs13228,0,10,0,0,0,0,7,0,10,0,0,10,10,7,7,10,0,10,0
hs10140,0,3,0,0,0,0,7,0,10,0,0,10,10,5,7,10,0,10,0
